,CIK Number_x,Data Year - Fiscal_x,SIC_2,BigR,SmallR,RES,Industry Specialization (sale)_national,Industry Specialization (sale)_city,Office Size_sales,Big4,New Client,Tenure,Same MSA,INTEGRATED AUDIT,Historical is accelerated filer,Busy,WorkloadCompression,HI_pre_sq,Auditor resigned_revised,Log_AuditFee,Log_TaxFee,Log_AuditRelatedFee,Log_OtherFee,NonAuditFeeRatio,Influence,AbnormalLAF,Log Audit Report Lag,Due_to_Auditor,Going concern,SOX404auditorWeak,Disc. Accruals,Abs (Disc. Accruals),Abs(Accruals),Abs(Accruals/CFO),DD Residual,Small Profit,Prior ROA meet,Current Assets - Total,Accounts Payable - Trade,Assets - Total,Common/Ordinary Equity - Total,Cash and Short-Term Investments,Cost of Goods Sold,Common Shares Issued,Common Shares Outstanding,Debt in Current Liabilities - Total,Long-Term Debt - Issuance,Long-Term Debt - Total,Depreciation and Amortization,Income Before Extraordinary Items,Inventories - Total,Investment and Advances - Other,Short-Term Investments - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),Operating Activities - Net Cash Flow,Operating Income Before Depreciation,"Property, Plant and Equipment - Total (Gross)","Property, Plant and Equipment - Total (Net)",Preferred/Preference Stock (Capital) - Total,Retained Earnings,Receivables - Total,Sales/Turnover (Net),Sale of Common and Preferred Stock,Income Taxes Payable,Income Taxes - Total,Working Capital (Balance Sheet),Interest and Related Expense - Total,Price Close - Annual - Calendar
31,1923,2009,15,1,0,1,0.396454141,1,0.795549039,1,0,0.470588235,1,0,0,0,0.003270654,0.190634571,0,0.672411058,0.65450084,0.475053383,0.466834177,0.249222409,0.004610173,0.865881202,0.613254632,0,0,0,0.511264513,0.006109626,0.000968729,0.005577529,0.026719263,0,0,5.45883E-05,0.000103025,0.000148565,0.143458402,1.45284E-05,6.8232E-05,0.000133532,0.000125218,1.19478E-05,2.49069E-05,5.22694E-05,2.76681E-05,0.168045517,3.01331E-05,2.30957E-05,0,8.05089E-05,0.00011359,0.168052533,0.304893577,0.164210902,2.40736E-05,2.55101E-05,0.016305876,0.36399863,0.00013846,8.8967E-05,0.011946387,0.000257181,0.378078089,0.135438773,0.000112172,0.000974504
32,1961,2008,73,1,0,1,2.09005E-05,0.014602329,0.142059432,0,0,0.235294118,0,0,0,1,1,0.36065833,0,0.534479425,0.505182472,0,0,0.227272727,1,0.794650999,0.628969721,0,1,0,0.528925914,0.040865229,0.109814792,0.014743135,0.488444844,0,0,1.04472E-06,3.79498E-05,6.27621E-07,0.143353351,1.31598E-06,4.30368E-06,0.001784975,0.001784975,3.40799E-05,1.00925E-05,0,9.68615E-06,0.168061192,0,0,1.33261E-06,5.75263E-05,1.6367E-05,0.168061192,0.304921198,0.164265088,2.6126E-08,3.71558E-08,0.016305876,0.363885554,0,8.96644E-06,0.012016463,0.000257181,0.378138175,0.135374593,6.2426E-05,0.000113314
37,1961,2013,73,1,0,1,3.43526E-05,0.014968712,0.178420315,0,0,0.529411765,0,0,0,1,1,0.38789078,0,0.558836293,0.433800267,0.53695397,0,0.38372093,1,0.801913929,0.616250018,0,1,0,0.216909574,0.573146942,0.839710097,0.112721947,0.373183966,0,0,2.00812E-06,3.33524E-05,1.18631E-06,0.143350748,2.25596E-07,3.31359E-06,0.003175898,0.003175898,4.9202E-05,1.00925E-05,0,9.59346E-06,0.168034731,0,0,0,6.71037E-05,1.90919E-05,0.168034731,0.304912103,0.164209352,0,0,0.016305876,0.363854299,9.39188E-06,8.5636E-06,0.011979604,0.000257181,0.378138175,0.135370384,0.000135744,8.49858E-05
95,2491,2005,73,1,1,1,0.166690315,0.986957105,0.713052985,1,0,0.176470588,1,1,1,0,0.183940006,0.490362783,0,0.824301906,0.795981768,0.668469911,0,0.199094206,0.188790321,0.891568343,0.709972587,0,0,0,0.508254753,0.000186765,0.01031118,0.054039703,0.028403277,1,0,0.001699777,0.001538348,0.00237601,0.144360492,0.000371286,0.001162144,0.001793868,0.001775946,0.000448065,1.00925E-05,0.002859453,0.002222577,0.167925355,0.001344203,0.000356238,0.000129239,0.002271096,0.002109507,0.167888418,0.305848766,0.165137797,0.000585523,0.000629849,0.016307563,0.363854572,0.003068193,0.002101195,0.012109266,0.000430482,0.377940978,0.13654199,0.00302522,0.007376771
96,2491,2006,73,1,1,1,0.174272353,0.991914589,0.733387379,1,0,0.235294118,1,1,1,0,0.279410896,0.413409709,0,0.860764112,0.806210798,0.591623719,0,0.114434626,0.267076253,0.920610275,0.756782716,0,0,1,0.504818088,0.006576149,0.013044158,0.07863182,0.033549657,0,0,0.002060381,0.001656001,0.002495538,0.14418137,0.000232492,0.001340351,0.001801739,0.001783817,0.000567146,1.00925E-05,0.002776104,0.00312223,0.167692921,0.001481156,0.000307751,0.000115578,0.003081454,0.002394726,0.167701842,0.305855891,0.16499845,0.000655436,0.000593813,0.016305876,0.363689764,0.004264449,0.002378579,0.012103001,0.000257181,0.377226176,0.136590542,0.004518891,0.010583569
124,3116,2011,28,1,1,1,0.18972969,0.028038305,0.856722975,1,0,0.176470588,1,1,1,1,0.949432513,0.176208401,0,0.742548948,0.491950377,0,0,0.005277045,0.005806651,0.856191181,0.590212137,0,0,0,0.50652906,0.003209153,0.005927812,0.035665309,0.032239486,0,0,0.00097559,0.000747043,0.001114278,0.14426063,0.000631444,0.00027058,0.003234708,0.003234708,0,0.001820409,0.000887066,0.00025272,0.168408875,0.00075028,0.000484722,0,0.000438406,0.000656695,0.168408875,0.305336178,0.16493277,0.000253854,0.000235615,0.016305876,0.363781591,0.000794918,0.000601648,0.012356352,0.000257181,0.378073341,0.136564629,0.001077498,0.006300283
245,5133,2006,27,1,0,1,0.271251968,1,0.804479118,1,0,0.352941176,1,1,1,0,0.038466922,0.243895815,0,0.800762252,0.779788095,0.394355476,0,0.190837415,0.039101382,0.857454514,0.551005509,0,0,0,0.506679836,0.002912444,0.011447013,0.034355651,0.039224891,1,0,0.005000163,0.004940333,0.006451122,0.149053008,0.001088283,0.00387121,0.002908698,0.001878165,0,0.003027286,0.001970354,0.002298119,0.168410875,0.003864359,0,0,0.005780526,0.003375868,0.168403835,0.309640511,0.165778847,0.002741873,0.001513153,0.016305876,0.368472058,0.003266491,0.007565506,0.012942016,0.002867077,0.379129325,0.139273135,0.004750062,0.013524079
246,5133,2007,27,1,0,1,0.275227327,1,0.799162945,1,0,0.411764706,1,1,1,0,0.03577399,0.234795885,0,0.793320271,0.7943368,0.648764441,0,0.287149121,0.04297887,0.852491238,0.551005509,0,0,0,0.507213007,0.001863225,0.008079041,0.026972862,0.012470524,0,0,0.004187462,0.005170582,0.006546223,0.148665053,0.000928764,0.003646448,0.002950267,0.001661291,0.001886518,1.00925E-05,0.001764471,0.002258958,0.168728779,0.00458495,0,0,0.007011344,0.003796405,0.168726263,0.309215116,0.167274283,0.002827621,0.001571185,0.016305876,0.368719236,0.001987027,0.007703459,0.015902681,0.003129402,0.379682024,0.137374484,0.003299146,0.011501416
267,5981,2011,28,0,1,1,0.017981306,0.087345251,0.595373547,0,0,0.058823529,1,1,1,1,0.798103768,0.075420642,0,0.713244483,0.750907846,0,0,0.416116248,0.141514967,0.815833712,0.579004353,0,0,0,0.502523563,0.011091511,0.004614115,0.01795745,0.030143352,0,0,0.001116446,0.000970229,0.001230355,0.144422536,0.000263895,0.000840716,0.001016871,0.000939832,0.00063751,0.000312762,0.000456847,0.000637386,0.168242641,0.001503862,0,0,0.001224681,0.000670504,0.168242641,0.305622302,0.16512695,0.000309035,0.00020846,0.016305876,0.364483679,0.0021988,0.001327232,0.012030886,0.000257181,0.378637814,0.136308672,0.000627023,0.007558074
311,6314,2005,36,1,0,1,0.36414571,1,0.520580537,1,0,0.235294118,1,1,1,0,0.401736387,0.450842425,0,0.738078208,0.706902365,0.545241286,0,0.194109462,0.390485953,0.864789938,0.56464534,0,0,0,0.512076333,0.007707194,0.000495178,0.00467913,0.027435482,0,0,0.000597488,0.000253988,0.000636622,0.144265515,0.000439296,0.000294675,0.00088828,0.000596854,0,1.00925E-05,0,0.000262546,0.168126328,0.000410585,0.001128532,0.000419006,0.000169774,7.23243E-05,0.168126328,0.305078696,0.164524845,0.000204778,0.000132614,0.016305876,0.364184622,0.00050022,0.000417732,0.011979167,0.000405654,0.378204185,0.136173655,5.15339E-05,0.008855524
