,CIK Number_x,Data Year - Fiscal_x,SIC_2,BigR,SmallR,RES,Industry Specialization (sale)_national,Industry Specialization (sale)_city,Office Size_sales,Big4,New Client,Tenure,Same MSA,INTEGRATED AUDIT,Historical is accelerated filer,Busy,WorkloadCompression,HI_pre_sq,Auditor resigned_revised,Log_AuditFee,Log_TaxFee,Log_AuditRelatedFee,Log_OtherFee,NonAuditFeeRatio,Influence,AbnormalLAF,Log Audit Report Lag,Due_to_Auditor,Going concern,SOX404auditorWeak,Disc. Accruals,Abs (Disc. Accruals),Abs(Accruals),Abs(Accruals/CFO),DD Residual,Small Profit,Prior ROA meet,Current Assets - Total,Accounts Payable - Trade,Assets - Total,Common/Ordinary Equity - Total,Cash and Short-Term Investments,Cost of Goods Sold,Common Shares Issued,Common Shares Outstanding,Debt in Current Liabilities - Total,Long-Term Debt - Issuance,Long-Term Debt - Total,Depreciation and Amortization,Income Before Extraordinary Items,Inventories - Total,Investment and Advances - Other,Short-Term Investments - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),Operating Activities - Net Cash Flow,Operating Income Before Depreciation,"Property, Plant and Equipment - Total (Gross)","Property, Plant and Equipment - Total (Net)",Preferred/Preference Stock (Capital) - Total,Retained Earnings,Receivables - Total,Sales/Turnover (Net),Sale of Common and Preferred Stock,Income Taxes Payable,Income Taxes - Total,Working Capital (Balance Sheet),Interest and Related Expense - Total,Price Close - Annual - Calendar
31,1923,2009,15,1,0,1,0.39645414087194597,1.0,0.7955490385835892,1.0,0.0,0.47058823529411764,1.0,0.0,0.0,0.0,0.003270654229413687,0.19063457149713353,0.0,0.6724110580672547,0.6545008402169268,0.47505338298408334,0.46683417685308837,0.2492224089235279,0.00461017262262718,0.8658812015584494,0.6132546318499225,0.0,0.0,0.0,0.5112645133427589,0.0061096263598764385,0.000968728709022094,0.005577528981218632,0.026719262542758186,0.0,0.0,5.4588335387329454e-05,0.00010302461891339746,0.00014856481602561571,0.14345840157957324,1.4528390399928385e-05,6.823202426723637e-05,0.00013353156472894047,0.00012521778524594444,1.194780001763513e-05,2.4906932403369932e-05,5.226940743739111e-05,2.766808512334335e-05,0.16804551695675293,3.0133101974310683e-05,2.309568211160522e-05,0.0,8.050893424457979e-05,0.00011359006693180716,0.1680525329968174,0.30489357659353616,0.1642109018459233,2.4073617138627224e-05,2.551009575574853e-05,0.016305875737981444,0.363998629561998,0.00013845960547807516,8.896696300475243e-05,0.011946386946386946,0.00025718129302840866,0.3780780887994227,0.1354387726411073,0.00011217162974648561,0.0009745042492917846
32,1961,2008,73,1,0,1,2.0900458956672874e-05,0.01460232891506098,0.14205943232233317,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,1.0,1.0,0.360658329659707,0.0,0.5344794248147116,0.5051824720355588,0.0,0.0,0.2272727272727273,1.0,0.7946509986942589,0.628969721132846,0.0,1.0,0.0,0.5289259140474828,0.04086522864075334,0.10981479225051788,0.01474313450738816,0.48844484396687765,0.0,0.0,1.044722898198948e-06,3.7949839340107466e-05,6.276211367837541e-07,0.1433533509838677,1.3159773912978613e-06,4.303682440656224e-06,0.0017849752695725963,0.0017849752695725963,3.407988713517327e-05,1.0092512282165043e-05,0.0,9.686147053230754e-06,0.16806119193314126,0.0,0.0,1.3326098405656012e-06,5.7526306817301286e-05,1.636698736320426e-05,0.16806119193314126,0.3049211984728796,0.16426508752809754,2.6125956137422527e-08,3.7155778254315376e-08,0.016305875737981444,0.3638855540766943,0.0,8.966435241240447e-06,0.012016462703962703,0.00025718129302840866,0.37813817463633254,0.13537459298159688,6.242595046760939e-05,0.00011331444759206799
37,1961,2013,73,1,0,1,3.435260153003746e-05,0.014968712476392544,0.17842031473337622,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,1.0,1.0,0.3878907802996494,0.0,0.5588362931606977,0.4338002667519682,0.536953969806693,0.0,0.3837209302325582,1.0,0.8019139287847581,0.6162500177297204,0.0,1.0,0.0,0.21690957426755783,0.5731469422953999,0.8397100965267605,0.11272194715564442,0.37318396569303247,0.0,0.0,2.0081200618075584e-06,3.335239184295788e-05,1.1863127845565758e-06,0.14335074827795105,2.2559612422249047e-07,3.313586711534157e-06,0.00317589783537122,0.00317589783537122,4.920201040472622e-05,1.0092512282165043e-05,0.0,9.593456650807494e-06,0.16803473098565838,0.0,0.0,0.0,6.710369302772483e-05,1.90918791170998e-05,0.16803473098565838,0.3049121026056053,0.16420935222396296,0.0,0.0,0.016305875737981444,0.36385429948016634,9.391883402437492e-06,8.563595397068773e-06,0.011979603729603728,0.00025718129302840866,0.37813817463633254,0.1353703844793339,0.00013574392875118188,8.498583569405099e-05
95,2491,2005,73,1,1,1,0.16669031522530198,0.9869571053358751,0.7130529851559372,1.0,0.0,0.17647058823529413,1.0,1.0,1.0,0.0,0.18394000627096266,0.49036278280621926,0.0,0.8243019064590686,0.7959817679164777,0.6684699108021039,0.0,0.1990942058476822,0.18879032122460718,0.8915683430095281,0.7099725870302322,0.0,0.0,0.0,0.5082547532233066,0.0001867651201928222,0.010311179792388873,0.054039702734204664,0.02840327709426933,1.0,0.0,0.0016997766670211636,0.0015383477275234972,0.0023760103698103724,0.14436049159729855,0.00037128610124537485,0.0011621435196398622,0.0017938682877900634,0.0017759459598881947,0.000448064544572789,1.0092512282165043e-05,0.002859453371112793,0.0022225768145061595,0.16792535536560393,0.0013442029752206023,0.0003562377468560226,0.000129239215435931,0.00227109582035427,0.0021095071385109215,0.16788841797820583,0.3058487658122064,0.1651377971527825,0.0005855233174158526,0.0006298488290621882,0.01630756255271296,0.3638545721327531,0.003068193240356829,0.0021011953007545317,0.012109265734265734,0.00043048191817678246,0.3779409776292302,0.13654198978712598,0.0030252200839889147,0.007376770538243625
96,2491,2006,73,1,1,1,0.1742723533162782,0.9919145890949821,0.7333873788810223,1.0,0.0,0.23529411764705882,1.0,1.0,1.0,0.0,0.27941089573678285,0.4134097091611259,0.0,0.8607641121249706,0.8062107975653766,0.591623719160992,0.0,0.1144346257123665,0.26707625335799123,0.9206102750819225,0.7567827164740205,0.0,0.0,1.0,0.504818088093369,0.00657614946287969,0.013044158251075598,0.07863182021153568,0.03354965698342768,0.0,0.0,0.0020603812300204563,0.0016560005884732796,0.002495537731623172,0.14418137045928786,0.00023249184575289126,0.0013403508001709893,0.0018017391200055228,0.0017838167921036543,0.0005671457543426506,1.0092512282165043e-05,0.0027761039052463,0.003122229860426329,0.16769292126003,0.0014811562308229469,0.0003077511595658203,0.00011557796964522255,0.00308145427495467,0.0023947257030485277,0.16770184210735176,0.30585589120146384,0.16499845037803965,0.0006554363760395954,0.0005938130321238243,0.016305875737981444,0.3636897644066398,0.004264449051388366,0.0023785786889397075,0.012103001165501165,0.00025718129302840866,0.37722617645941736,0.13659054175396587,0.004518891002989943,0.01058356940509915
124,3116,2011,28,1,1,1,0.189729690118038,0.028038305012295203,0.8567229753065851,1.0,0.0,0.17647058823529413,1.0,1.0,1.0,1.0,0.9494325131168214,0.17620840110814753,0.0,0.7425489477485514,0.4919503768202867,0.0,0.0,0.005277044854881266,0.00580665089194396,0.8561911809578449,0.5902121366930065,0.0,0.0,0.0,0.5065290604407405,0.0032091529594304,0.005927812205501173,0.0356653088627812,0.032239486304816684,0.0,0.0,0.0009755897679714234,0.0007470434233095603,0.0011142778406723086,0.1442606295855864,0.0006314435516987508,0.0002705797293094198,0.0032347076033533975,0.0032347076033533975,0.0,0.0018204086167063877,0.0008870664015064853,0.0002527203822070206,0.1684088748144797,0.0007502803817423875,0.0004847224214603357,0.0,0.0004384056286515722,0.0006566945034788667,0.1684088748144797,0.30533617762451837,0.16493277024725836,0.0002538543042512736,0.00023561540584725793,0.016305875737981444,0.3637815909278439,0.0007949177032290488,0.0006016478046872338,0.01235635198135198,0.00025718129302840866,0.3780733411827263,0.13656462862688543,0.001077497915883633,0.0063002832861189795
245,5133,2006,27,1,0,1,0.2712519678296965,1.0,0.8044791180607752,1.0,0.0,0.35294117647058826,1.0,1.0,1.0,0.0,0.03846692200861304,0.24389581486317713,0.0,0.8007622517708567,0.7797880947195649,0.3943554755612508,0.0,0.1908374149290943,0.03910138168866154,0.8574545136933819,0.5510055087783883,0.0,0.0,0.0,0.5066798357974003,0.002912444424392082,0.0114470128544152,0.03435565103667308,0.03922489145137326,1.0,0.0,0.0050001626514691805,0.004940333490482448,0.006451121760136704,0.14905300769593216,0.0010882832231201014,0.0038712096212467897,0.0029086984144464046,0.0018781645600889657,0.0,0.00302728601965587,0.001970354270428187,0.002298119492481117,0.16841087486209988,0.003864358719343166,0.0,0.0,0.005780525981372139,0.003375867512059189,0.16840383501194472,0.30964051091680006,0.1657788468088005,0.00274187265047825,0.0015131531455020277,0.016305875737981444,0.36847205849115494,0.003266490765171504,0.00756550553799311,0.012942016317016318,0.0028670768378570863,0.3791293250788104,0.1392731354248864,0.004750062100815309,0.013524079320113316
246,5133,2007,27,1,0,1,0.27522732736384137,1.0,0.7991629452770105,1.0,0.0,0.4117647058823529,1.0,1.0,1.0,0.0,0.03577398993744219,0.23479588540771704,0.0,0.7933202705145771,0.7943368003374117,0.6487644407961991,0.0,0.2871491211632875,0.04297887023623566,0.8524912380964252,0.5510055087783883,0.0,0.0,0.0,0.5072130067283978,0.0018632254448058634,0.008079041439487995,0.026972861585717812,0.012470523806314663,0.0,0.0,0.004187462074056465,0.005170582020135148,0.006546222687764736,0.14866505306378874,0.0009287642036823785,0.003646447940025235,0.0029502673118613847,0.0016612907633296635,0.001886517943743938,1.0092512282165043e-05,0.0017644708822442407,0.0022589577974572892,0.16872877925664898,0.004584950377721819,0.0,0.0,0.007011344088521084,0.003796404730200443,0.16872626332372995,0.30921511638135785,0.16727428308698317,0.002827620941405286,0.0015711851631669462,0.016305875737981444,0.36871923599875156,0.00198702726473175,0.007703458692371383,0.015902680652680655,0.003129401756746063,0.37968202362414066,0.1373744841410211,0.0032991464551814192,0.0115014164305949
311,6314,2005,36,1,0,1,0.36414571038771465,1.0,0.5205805367018785,1.0,0.0,0.23529411764705882,1.0,1.0,1.0,0.0,0.40173638670794687,0.45084242520884366,0.0,0.7380782075890316,0.7069023654407558,0.545241286084188,0.0,0.1941094619666048,0.3904859530380208,0.8647899377035866,0.5646453400219894,0.0,0.0,0.0,0.512076332993188,0.007707193923504913,0.0004951782879445663,0.004679129664857346,0.027435482308575183,0.0,0.0,0.0005974876603837324,0.000253988076728891,0.0006366218769014449,0.14426551526846015,0.00043929581282764826,0.0002946753756216719,0.0008882796357446997,0.0005968544065723016,0.0,1.0092512282165043e-05,0.0,0.00026254556486388623,0.16812632840464456,0.00041058467528620095,0.001128532491751542,0.00041900604861233023,0.0001697738930990128,7.232427093713348e-05,0.16812632840464456,0.3050786959657981,0.16452484503780399,0.00020477814708913308,0.00013261428055797364,0.016305875737981444,0.36418462167659815,0.0005002198768689534,0.0004177319235723411,0.011979166666666666,0.00040565403181134764,0.3782041854988795,0.1361736551386357,5.15339226516463e-05,0.008855524079320113
312,6314,2006,36,1,0,1,0.3743804073354803,1.0,0.5138897539175815,1.0,0.0,0.29411764705882354,1.0,1.0,1.0,0.0,0.3240944910027296,0.4562501744871274,0.0,0.7218442308763608,0.7112836957539029,0.5486641400319912,0.0,0.2582496413199426,0.3486546871718125,0.8337641493119141,0.5510055087783883,0.0,0.0,1.0,0.5058821505566192,0.0044821970978872585,0.0025845656803883837,0.013182146114023909,0.002075520302986974,0.0,0.0,0.0007787001645282169,0.00028416405030109104,0.000686867846522572,0.14434052256052413,0.0006203968614826561,0.00031169109116738783,0.0009150949818640353,0.0005999209645783248,0.0,1.0092512282165043e-05,0.0,0.00025095926456097863,0.1681575672436645,0.0004683538946611084,0.0002932147468082054,0.0005327247482404762,0.00018570520867233872,7.443187329694266e-05,0.16816405152503633,0.30522405390664864,0.16457247462706898,0.0002261665965136363,0.00014668570457971507,0.016305875737981444,0.3642293618135702,0.0005508857896720694,0.00046539264191020036,0.012754807692307694,0.0003240484292157949,0.37826066314710016,0.13642706320916437,5.088365233427536e-05,0.010062322946175638
373,7039,2012,29,1,0,1,0.0019080519653291005,0.007640752827898752,0.40268035020908044,0.0,0.0,0.11764705882352941,0.0,1.0,1.0,1.0,1.0,0.11296041578661797,0.0,0.6796338540188854,0.5911322518379575,0.0,0.6222235833465279,0.2000013358581051,0.6378515232852541,0.8436439800680977,0.5937521947217687,0.0,0.0,0.0,0.506684465055078,0.002903334578497425,0.008353947971268356,0.021201118363440716,0.042842530584064765,0.0,0.0,0.0002587346966862891,0.00026355912651841154,0.0004367045915626844,0.14383283784693396,7.155909060337396e-05,0.0009426457644555494,0.0008109001553927161,0.0008109001553927161,6.666078829027423e-05,4.026444735590209e-05,0.00012529698526953065,0.00018677116088287055,0.16814940831924569,0.0002082231203842817,0.0,0.0,0.00018892866551985992,0.00016818490462878861,0.16814940831924569,0.3053075001319516,0.16463931271711738,0.00020050219893464155,0.00021766916495042358,0.016305875737981444,0.3641015953763861,0.0005334841060434728,0.0009738978103692249,0.011967657342657343,0.0002766677217694073,0.3783624140681378,0.13567130146118472,0.00013574392875118188,0.004708215297450425
