,CIK Number_x,Data Year - Fiscal_x,SIC_2,BigR,SmallR,RES,Industry Specialization (sale)_national,Industry Specialization (sale)_city,Office Size_sales,Big4,New Client,Tenure,Same MSA,INTEGRATED AUDIT,Historical is accelerated filer,Busy,WorkloadCompression,HI_pre_sq,Auditor resigned_revised,Log_AuditFee,Log_TaxFee,Log_AuditRelatedFee,Log_OtherFee,NonAuditFeeRatio,Influence,AbnormalLAF,Log Audit Report Lag,Due_to_Auditor,Going concern,SOX404auditorWeak,Disc. Accruals,Abs (Disc. Accruals),Abs(Accruals),Abs(Accruals/CFO),DD Residual,Small Profit,Prior ROA meet,Current Assets - Total,Accounts Payable - Trade,Assets - Total,Common/Ordinary Equity - Total,Cash and Short-Term Investments,Cost of Goods Sold,Common Shares Issued,Common Shares Outstanding,Debt in Current Liabilities - Total,Long-Term Debt - Issuance,Long-Term Debt - Total,Depreciation and Amortization,Income Before Extraordinary Items,Inventories - Total,Investment and Advances - Other,Short-Term Investments - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),Operating Activities - Net Cash Flow,Operating Income Before Depreciation,"Property, Plant and Equipment - Total (Gross)","Property, Plant and Equipment - Total (Net)",Preferred/Preference Stock (Capital) - Total,Retained Earnings,Receivables - Total,Sales/Turnover (Net),Sale of Common and Preferred Stock,Income Taxes Payable,Income Taxes - Total,Working Capital (Balance Sheet),Interest and Related Expense - Total,Price Close - Annual - Calendar
9,1750,2013,37,0,0,0,0.10805347396527595,0.33167677425094744,0.8264499265373437,1.0,0.0,0.7647058823529411,1.0,1.0,1.0,0.0,0.023872414653198226,0.17853722882623224,0.0,0.7901211657421163,0.763133982970335,0.6600566246584817,0.0,0.2257232967375325,0.02721002852208518,0.86028441488684,0.5275849701854443,0.0,0.0,0.0,0.5081324645899249,5.3838279907056126e-05,0.002767533899850352,0.019620150144759596,0.002221060395870133,0.0,0.0,0.006987131766457514,0.007151120606929942,0.007979491692108268,0.14897967196930603,0.0006708326349879976,0.007871340652207202,0.0015221371755896806,0.0013478885351140997,0.0030729212591482234,1.0092512282165043e-05,0.004965593706552154,0.0052651392740496955,0.16864607887489386,0.01339272488731828,0.00024864916559078087,0.0,0.006231499992251306,0.0052857608973624105,0.16864607887489386,0.307391051918577,0.1686363326748859,0.002431455651189457,0.002193783307501221,0.016305875737981444,0.3661892854708459,0.009357331323030531,0.00882339244366968,0.012689393939393938,0.00025718129302840866,0.3793573626039728,0.14189001659818778,0.006874657795245483,0.015869688385269122
10,1750,2014,37,0,0,0,0.11004461629437082,0.3316068255126211,0.8382944306762186,1.0,0.0,0.8235294117647058,1.0,1.0,1.0,0.0,0.021965538397831184,0.1669297124878083,0.0,0.7936730799560371,0.7540862942269165,0.4982520890707139,0.0,0.1507582919256449,0.02295022368811461,0.8676609097824038,0.5217847513797101,0.0,0.0,0.0,0.5090079612153794,0.001668991691285661,0.008720568169891195,0.0656360911532573,0.019831009558861606,0.0,0.0,0.005968683336356983,0.005947425262221688,0.005496216153793357,0.1481135991384146,0.00041139709213213366,0.0066837233128029935,0.0015297013520045376,0.0012069290854372365,0.003042059783087911,1.0092512282165043e-05,0.0007479629010401084,0.004287255528484294,0.16763494368913545,0.011991874219692321,0.00020561373308468416,0.0,0.006384924140282362,0.002953729750703269,0.16814844797892015,0.30417495029821073,0.16570226823785847,0.0020131500645891695,0.001565850655003291,0.016305875737981444,0.36614336503517575,0.007259077773589646,0.006914451375643273,0.012893356643356644,0.00025718129302840866,0.3770557180295492,0.14032361931194617,0.004354860315433126,0.015739376770538244
22,1800,2013,28,0,0,0,0.20140499376305365,0.6109564230553447,0.893585087443923,1.0,0.0,0.6470588235294118,1.0,1.0,1.0,1.0,0.8529588030967139,0.17853722882623224,0.0,0.9084676122780289,0.7312141483564647,0.7569412185148944,0.627217074298293,0.06277945619335347,0.08249262159469663,0.8603887499557801,0.5410895313719853,0.0,0.0,0.0,0.4990840424056963,0.017860090907446217,0.0015845242630637703,0.009794942940991593,0.03241968524574154,0.0,0.0,0.12040587797386317,0.04288164665523156,0.15582780381879455,0.28456438331575756,0.060895973957424056,0.04511486120454967,0.05744092463402164,0.052748102771670975,0.1398906621991006,0.00014586622011398176,0.029812921279104558,0.07967699433944347,0.18698064239624754,0.056986266584844576,0.0056902405202505614,0.036890151454699247,0.1473336742758845,0.07798128731293927,0.18851242489900552,0.3634124456799029,0.23908453102649682,0.03736011727651422,0.031343552941676046,0.016305875737981444,0.4356091453417664,0.12520417137831386,0.09464560569714646,0.06949300699300699,0.01756746063147899,0.38337954346917846,0.2237490136322821,0.028333578268486214,0.02171671388101983
23,1800,2014,28,0,0,0,0.24116195997735926,0.6855321467009707,0.875348836003842,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9372133751644751,0.1669297124878083,0.0,0.8969190756261401,0.9083813254861681,0.7249814596575078,0.521655768181513,0.2814718420667447,0.09945585748362008,0.8491445142916904,0.5557054425000038,0.0,0.0,0.0,0.5067326915851957,0.002808430322137393,0.00306641440138004,0.01832613670319152,0.0014204480238892534,0.0,0.0,0.09547015658331821,0.04446985579061051,0.1497402415787764,0.2641185577419283,0.03353868396004338,0.040597238480716315,0.05775108993989751,0.051383041511723154,0.19561767039943567,1.0092512282165043e-05,0.029988912549937522,0.07175196493225468,0.18172654904481853,0.055928222273948835,0.006407497728685507,0.003167940758709842,0.1632184976831404,0.08657924673057081,0.18619490940260483,0.3695877830362955,0.2404808936720932,0.03666923088088016,0.031502791991337396,0.016305875737981444,0.42791029729894564,0.1126397788666918,0.08771069612167498,0.07444638694638694,0.026964469415209306,0.40840897869269627,0.17829900320172692,0.026545334895716154,0.025507082152974505
37,1961,2013,73,1,0,1,3.435260153003746e-05,0.014968712476392544,0.17842031473337622,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,1.0,1.0,0.3878907802996494,0.0,0.5588362931606977,0.4338002667519682,0.536953969806693,0.0,0.3837209302325582,1.0,0.8019139287847581,0.6162500177297204,0.0,1.0,0.0,0.21690957426755783,0.5731469422953999,0.8397100965267605,0.11272194715564442,0.37318396569303247,0.0,0.0,2.0081200618075584e-06,3.335239184295788e-05,1.1863127845565758e-06,0.14335074827795105,2.2559612422249047e-07,3.313586711534157e-06,0.00317589783537122,0.00317589783537122,4.920201040472622e-05,1.0092512282165043e-05,0.0,9.593456650807494e-06,0.16803473098565838,0.0,0.0,0.0,6.710369302772483e-05,1.90918791170998e-05,0.16803473098565838,0.3049121026056053,0.16420935222396296,0.0,0.0,0.016305875737981444,0.36385429948016634,9.391883402437492e-06,8.563595397068773e-06,0.011979603729603728,0.00025718129302840866,0.37813817463633254,0.1353703844793339,0.00013574392875118188,8.498583569405099e-05
48,2034,2013,51,0,0,0,0.013660358847077957,0.06138637128100683,0.5402679709764613,0.0,0.0,0.17647058823529413,1.0,1.0,1.0,0.0,0.4460103953058695,0.11153547187640084,0.0,0.756989332064026,0.715019688203873,0.0,0.0,0.1491760624457936,0.420005042780265,0.8748794564773401,0.5602486822448296,0.0,0.0,0.0,0.5107921545975375,0.005180078757322798,0.00039470094675348854,0.002423957561015733,0.013334972818906185,0.0,0.0,0.001365646758543894,0.001639282597574554,0.0011733576684903632,0.1444649868742848,0.0002660755887788127,0.001965966917090568,0.0009482478811958186,0.0009482478811958186,0.0005164447579578521,0.00016095218765085028,0.00017911511589025186,0.00033141453386436903,0.16824470423898982,0.0017743191484859387,0.00019404198345526706,1.7108476036961968e-05,0.0013933237249523455,0.0005678621504598806,0.16824470423898982,0.30534898573162794,0.16503650977453851,5.408943785651044e-05,6.056391855453407e-05,0.016305875737981444,0.36441279960393624,0.002996324915190351,0.002173026409742691,0.012857954545454546,0.0006484925219593258,0.37860237760644155,0.13657127697205518,0.000391787866215986,0.014169971671388103
49,2034,2014,51,0,0,0,0.012490998899549808,0.06232354992724182,0.5324427196052005,0.0,0.0,0.23529411764705882,1.0,1.0,1.0,0.0,0.5193933360737926,0.11591821110772578,0.0,0.7600882476680031,0.7474179174153637,0.6604657105357244,0.0,0.2948369565217391,0.5744173589107863,0.8672431181826308,0.5750537986945045,0.0,0.0,0.0,0.5078364307256205,0.0006363988265731702,0.0007668257692842509,0.00645369662210536,0.036093332800095926,0.0,0.0,0.0017288224659213892,0.00203608411155581,0.0016977804766212233,0.1446834346743252,0.0003282498806145311,0.0019306866717880324,0.000980310448792127,0.000980310448792127,0.00036782470681597743,0.0017320802767780226,0.0008549479945794689,0.0003846188248553208,0.1682976578807432,0.0021305415070783165,0.00027963467699517044,5.952855934502625e-06,0.0018367969997055496,0.0010335188140988898,0.1682976578807432,0.3053722971903095,0.16522389483005245,6.0098407768117625e-05,6.142911739102741e-05,0.016305875737981444,0.3645011354545226,0.004020040206056038,0.002218460679909537,0.012478875291375292,0.0008905396850518319,0.3787334877891299,0.13683828104450674,0.00038821137947044586,0.012294617563739377
60,2098,2014,34,0,0,0,0.004682284150783966,1.0,0.3402012874827103,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,1.0,1.0,0.6475674192576584,0.0,0.6672076415123638,0.6591008923346324,0.5737647002098915,0.0,0.3344947735191638,1.0,0.8198422502859123,0.5709853004096328,0.0,0.0,0.0,0.509398877491759,0.0024382698960058406,0.00016062081884627075,0.001234672768669199,0.0011684189064202768,0.0,0.0,0.0003597787940019143,0.0003248723581394882,0.0002877153149994751,0.1435943593080392,1.7250583632213104e-05,0.0003373440237269526,0.00015850697604466216,0.00011209973155351216,0.0,2.872368219019767e-05,0.0002124830608401823,8.838029871057918e-05,0.16810550251196457,0.0007125081998434094,0.0,0.0,0.00023808638244455808,0.0001758392931154596,0.16810550251196457,0.30501326553950636,0.16443692527756965,4.5369174274641856e-05,3.678952844009427e-05,0.016305875737981444,0.3640921458117334,0.0006117916823721574,0.0004730076144484132,0.012112325174825174,0.00025718129302840866,0.3782146682365452,0.1357890306839723,0.00012647757672864612,0.011325779036827195
76,2178,2013,51,0,0,0,0.3105577088228147,0.9324785623280563,0.8315797638820687,1.0,0.0,0.6470588235294118,1.0,1.0,1.0,1.0,0.8864750517410963,0.1551775019471283,0.0,0.751635464570902,0.0,0.0,0.0,0.0,0.00966435645381636,0.8506211876484513,0.5847234256144365,0.0,0.0,0.0,0.4883273921298278,0.039027939659248584,0.004541733219798252,0.020612875531650247,0.01173550144617545,0.0,0.0,0.00220036158672764,0.011123189859535441,0.0016255786508161927,0.1442408680921717,0.0004567644727132765,0.019308976268579556,0.0001436852790155504,0.0001436852790155504,0.0,1.0092512282165043e-05,0.0,0.0010419328136398748,0.16824306134273037,0.0005843790337939353,0.0,0.0,0.004217908782370171,0.0012936489739768429,0.16823900569061168,0.3057051672267281,0.1652416558817519,0.0006166683600156756,0.00048761650990466885,0.016305875737981444,0.3644883279580115,0.007727949491142103,0.01710096721976534,0.011946386946386946,0.00025718129302840866,0.3786102396596908,0.13612836838906878,5.072108475493263e-05,0.03881019830028329
77,2178,2014,51,0,0,0,0.34822796465475625,0.8045084456027978,0.8443431429650109,1.0,0.0,0.7058823529411765,1.0,1.0,1.0,1.0,0.8912698022463242,0.14739877557461634,0.0,0.7532427118469579,0.0,0.0,0.0,0.0,0.00836132304545035,0.8638948125432433,0.5847234256144365,0.0,0.0,0.0,0.5053178292096988,0.005592716507988692,0.01084192405623112,0.035555065728450644,0.10837461959152209,1.0,0.0,0.0015698681897517062,0.0067203815714242734,0.0012364245230675238,0.1442566413875115,0.0006030334797883318,0.02036567708074563,0.0001436852790155504,0.0001436852790155504,0.0,1.0092512282165043e-05,0.0,0.00115038058447509,0.16811685198853943,0.0002852699071037095,0.0,0.0,0.002612906225301037,0.0008082831418266476,0.16811926474439867,0.3057607100758282,0.16481452217151418,0.0006326864740119309,0.0004504925794602858,0.016305875737981444,0.3644984161037228,0.004567282321899736,0.01791035909893078,0.011946386946386946,0.00025718129302840866,0.37827342474078013,0.1361535921925027,4.71445980093925e-05,0.02830028328611898
