,CIK Number,Data Year - Fiscal,SIC_2,BigR,SmallR,RES_periodic,RES_annual,Industry Specialization (sale)_national,Industry Specialization (sale)_city,Office Size_sales,Big4,New Client,Tenure,Same MSA,INTEGRATED AUDIT,Historical is accelerated filer,Busy,WorkloadCompression,HI_pre_sq,Auditor resigned_revised,Log_AuditFee,Log_TaxFee,Log_AuditRelatedFee,Log_OtherFee,NonAuditFeeRatio,Influence,AbnormalLAF,Log Audit Report Lag,Due_to_Auditor,Going concern,SOX404auditorWeak,Disc. Accruals,Abs (Disc. Accruals),Abs(Accruals),Abs(Accruals/CFO),DD Residual,Small Profit,Prior ROA meet,Current Assets - Total,Accounts Payable - Trade,Assets - Total,Common/Ordinary Equity - Total,Cash and Short-Term Investments,Cost of Goods Sold,Common Shares Issued,Common Shares Outstanding,Debt in Current Liabilities - Total,Long-Term Debt - Issuance,Long-Term Debt - Total,Depreciation and Amortization,Income Before Extraordinary Items,Inventories - Total,Investment and Advances - Other,Short-Term Investments - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),Operating Activities - Net Cash Flow,Operating Income Before Depreciation,"Property, Plant and Equipment - Total (Gross)","Property, Plant and Equipment - Total (Net)",Preferred/Preference Stock (Capital) - Total,Retained Earnings,Receivables - Total,Sales/Turnover (Net),Sale of Common and Preferred Stock,Income Taxes Payable,Income Taxes - Total,Working Capital (Balance Sheet),Interest and Related Expense - Total,Price Close - Annual - Calendar
14,1750,2013,37,0,0,0,0,0.1080637131884993,0.3316955065052885,0.8951220409428794,1.0,0.0,0.6842105263157895,1.0,1.0,1.0,0.0,0.02475500017562217,0.17853722882623224,0.0,0.7617634020732713,0.7092910005669493,0.6600566246584817,0.0,0.2257232967375325,0.027138140121167536,0.8317120225662451,0.5000841567692947,0.0,0.0,0.0,0.5065385053915965,0.0003053634238448396,0.0026728680690454327,0.019943486500617814,0.002361044839187602,0.0,0.0,0.006583094584626525,0.0005372849368666647,0.00064344510955388,0.2884668118231601,0.0006668859119140056,0.004259763479556091,0.000489064540306208,0.0004330794917516585,0.00014391430388424088,5.6926304832230045e-05,0.00016759607297126483,0.007897134048069512,0.4868056440154818,0.010115556123835249,2.5712788156294194e-05,0.0,0.003988533338623604,0.00035134015107509266,0.2279825472984427,0.2680546264043,0.17261427425821974,0.0017552756763553302,0.0016357433470008075,0.0017972015005206178,0.25083635942929017,0.0007113571184663913,0.016260553320869012,0.0043372066098829555,0.09564414126341221,0.5546049179327598,0.2646495309993143,0.0013869533062917992,0.00019781073446327685
15,1750,2014,37,0,1,1,0,0.1100578337333118,0.3316255597275368,0.9026230471000334,1.0,0.0,0.7368421052631579,1.0,1.0,1.0,0.0,0.02432981055271762,0.1669297124878083,0.0,0.7651878366698656,0.7008816722643895,0.4982520890707139,0.0,0.1507582919256449,0.022762524452309117,0.838843523942852,0.4945862792813835,0.0,0.0,0.0,0.5072627705027553,0.0017356333639129997,0.00842227378190255,0.06671776149572105,0.014812878367089732,0.0,0.0,0.005623539710580215,0.0004468477294922642,0.000443200427812743,0.2881508508844451,0.0004089767113822911,0.003622614179163239,0.0004914948650576961,0.0003877900615854145,0.0001424689665425053,5.6926304832230045e-05,2.5244845299588004e-05,0.007157872608787051,0.4861814707755622,0.009057490370323015,2.1262497898474044e-05,0.0,0.004086733985359177,0.00019633197130897946,0.22752043395906577,0.2659461579275185,0.17079622673363443,0.0014532995242984975,0.001167540012981462,0.0017972015005206178,0.2508124741086857,0.0005518450153661734,0.015409976358708395,0.00440692060820484,0.09564414126341221,0.5538653975227287,0.26349983024105766,0.0012746429410754466,0.00019618644067796612
33,1800,2013,28,0,0,0,0,0.2010539293383199,0.6109673274545221,0.9356823369883875,1.0,0.0,0.5789473684210527,1.0,1.0,1.0,1.0,0.8510957992475227,0.17853722882623224,0.0,0.875862347456926,0.6796232725710336,0.7569412185148944,0.5879079605634523,0.06277945619335347,0.08222919537677646,0.831812892382914,0.5128847812661165,0.0,0.0,0.0,0.49700463979986315,0.018521277046102742,0.0015303242744740748,0.009956361744263354,0.0284924948012048,0.0,0.0,0.11344320405604554,0.003221825512713022,0.012565536617716666,0.33793086512724385,0.0605377034544762,0.02424068012396635,0.018455437319040018,0.01694766165373506,0.006551507693324193,0.0001301172681879544,0.0010062298338235783,0.06415107560787611,0.49812356082504533,0.04304185912701584,0.0005884272674228863,0.006601645056263209,0.0943023786378876,0.005183351611539947,0.24643096675289836,0.3047821172345383,0.21626640779977208,0.0269703891531675,0.023370589073408582,0.0017972015005206178,0.286944806248997,0.00951819225984235,0.054500810528239754,0.02375255514252778,0.1080793007887444,0.5558972481542498,0.32473221359003546,0.0023434028681342846,0.0002706920903954802
34,1800,2014,28,0,0,0,0,0.24169488147402,0.6855409608369802,0.9246024107724269,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9357668188713126,0.1669297124878083,0.0,0.8647282923900074,0.8442904046057425,0.7249814596575078,0.48896242043611887,0.2814718420667447,0.09929222556941761,0.820942108460109,0.5267388256474432,0.0,0.0,0.0,0.504651833484032,0.00341969188918842,0.002961525110985256,0.01862814796278181,0.0010384925115322428,0.0,0.0,0.08994943422835147,0.0033411523835542452,0.012074651919452783,0.33047181317377033,0.03334136514913192,0.021817003690130114,0.01855509158125982,0.016509075615361787,0.009161373978972407,5.6926304832230045e-05,0.0010121697974234815,0.0581599047018429,0.49488021165058055,0.042242715808653124,0.0006625987717198889,0.0005669160907065745,0.10446961731505545,0.0057548508562817145,0.24427885997302495,0.30883065353295347,0.21713164225720677,0.02647163603596052,0.023489321956084663,0.0017972015005206178,0.28294028296640755,0.00856302996582907,0.051410786211427535,0.02544560938748783,0.11482981595963902,0.5639392275306608,0.2913729171243501,0.002263698737980744,0.00031793785310734466
61,1961,2013,73,1,0,1,1,3.869119637512606e-05,0.01499632165695207,0.5037193487693006,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,1.0,1.0,0.3878907802996494,0.0,0.5387794357847282,0.4031934524172196,0.536953969806693,0.0,0.3837209302325582,1.0,0.7752801795454423,0.5841274636142633,0.0,1.0,0.0,0.2352121576063745,0.5355058895150402,0.8109871045781223,0.11457958348103632,0.3486835094960936,0.0,0.0,1.8978910899441769e-06,2.5058642876656838e-06,9.595362397530013e-08,0.28641326626666774,2.2426887002757787e-07,3.861599886377622e-05,0.001020407973361276,0.001020407973361276,2.304280676252695e-06,5.6926304832230045e-05,0.0,0.003924041763015906,0.4864282592719612,0.0,0.0,0.0,4.295038387525542e-05,1.2690213998624886e-06,0.227414833322278,0.26642943320491824,0.16987116447896003,0.0,0.0,0.0017972015005206178,0.24962182633132673,7.139838147749279e-07,0.012332883436601135,0.004094601895722797,0.09564414126341221,0.554213191774971,0.2598642660755061,0.001086591914723189,1.059322033898305e-06
79,2034,2013,51,0,0,0,0,0.0136603260607972,0.06141267943332561,0.7222019351970751,0.0,0.0,0.15789473684210525,1.0,1.0,1.0,0.0,0.4465466377223117,0.11153547187640084,0.0,0.7298206831159293,0.6645714139176366,0.0,0.0,0.1491760624457936,0.420005042780265,0.8458223230094655,0.5310452451726115,0.0,0.0,0.0,0.5085520329096584,0.004281653097630925,0.00038119986803285293,0.0024639039222184344,0.011646875205860413,0.0,0.0,0.0012866817479065334,0.00012316417179301185,9.461670915344916e-05,0.28681976311115115,0.0002645101809395263,0.001091567277759755,0.0003046773340480386,0.0003046773340480386,2.418668803012909e-05,0.00013824959744970154,6.045397953801339e-06,0.004167332352322892,0.4865578756552839,0.0013401473620279062,2.006586429581574e-05,3.0616324898611984e-06,0.000891810661217688,3.774532704117549e-05,0.2276098200927175,0.2667158527301668,0.1703836998269531,3.904733963410801e-05,4.515807304446942e-05,0.0017972015005206178,0.24991232781109696,0.00022778471597055235,0.013297314573932737,0.004394820249924684,0.09592524692673914,0.5543623405943011,0.26074569444721823,0.0010980040969951733,0.00017662429378531076
80,2034,2014,51,0,0,0,0,0.01249529425979862,0.06234983181162902,0.7174770706593537,0.0,0.0,0.21052631578947367,1.0,1.0,1.0,0.0,0.519858546389362,0.11591821110772578,0.0,0.7328083774033065,0.69468378334007,0.6604657105357244,0.0,0.2948369565217391,0.5744173589107863,0.8384396083418654,0.5450786323879533,0.0,0.0,0.0,0.505833890393831,0.0010853802683643222,0.0007405958472096413,0.0065600523192947315,0.03261958572110874,0.0,0.0,0.0016288561868370278,0.00015297704841844793,0.00013690475842212456,0.28689945730025296,0.00032631868151912675,0.0010726396460501372,0.00031497884571988664,0.00031497884571988664,1.722635634585684e-05,0.0009851910284143584,2.8855749171969074e-05,0.004207553780393805,0.48659056391161626,0.0016092029344542652,2.89169971419247e-05,1.0652881704461073e-06,0.0011756601265697224,6.869713998331808e-05,0.22765899425859185,0.26673113566633605,0.17049981007048495,4.338523439300907e-05,4.580318837367613e-05,0.0017972015005206178,0.24995827533056914,0.00030560895178101947,0.013317558961852192,0.004265251804472153,0.09609912598593051,0.5544044664103972,0.26094166949598235,0.001097844688734866,0.00015324858757062145
101,2098,2014,34,0,0,0,0,0.004686613476538805,1.0,0.6014022403155996,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,1.0,1.0,0.6475674192576584,0.0,0.6432612932351549,0.6125979733977766,0.5737647002098915,0.0,0.3344947735191638,1.0,0.7926130525801167,0.5412222080220503,0.0,0.0,0.0,0.5075438727413409,0.0022907506486484347,0.0001551266482919477,0.0012550199418943492,0.0010909754911617032,0.0,0.0,0.0003389798520648121,2.4408625448653332e-05,2.320088417753995e-05,0.28650214051257705,1.714909292810879e-05,0.00021782124637309701,5.093829310213515e-05,3.602792232949211e-05,0.0,6.696973147048777e-05,7.171615052342959e-06,0.003983603111204541,0.4864719464994366,0.0005381590934518196,0.0,0.0,0.00015238954907056558,1.1687892246308555e-05,0.22748055365157982,0.266495755380747,0.17001217659224244,3.2752153230369454e-05,2.743125366093055e-05,0.0017972015005206178,0.2497455410958137,4.650924000124171e-05,0.012539828213176549,0.0041399657903451095,0.09564414126341221,0.5542377692354629,0.26017154307549945,0.0010861789024123934,0.00014117231638418077
129,2178,2013,51,0,0,0,0,0.3104624561587145,0.9324804548685146,0.8980951678125498,1.0,0.0,0.5789473684210527,1.0,1.0,1.0,1.0,0.8865849398907385,0.1551775019471283,0.0,0.7246589680617819,0.0,0.0,0.0,0.0,0.00966435645381636,0.8223697374662474,0.5542442218148624,0.0,0.0,0.0,0.4868424454582471,0.03858945493843583,0.004386379405136848,0.02095257181373721,0.01090253562869274,0.0,0.0,0.0020731277358917864,0.000835718300659752,0.00013108259676250132,0.2867380000327421,0.000454077181144837,0.010395983699089019,4.617617027827339e-05,4.617617027827339e-05,0.0,5.6926304832230045e-05,0.0,0.004704470604722864,0.486556861496252,0.0004413828375980948,0.0,0.0,0.0026997143253913143,8.598777636384631e-05,0.22760452826851219,0.2669493644605412,0.17051081543071794,0.00044517487793122235,0.00036357987556793895,0.0017972015005206178,0.2499516135653693,0.000587489284273014,0.01994883606832331,0.0040832484731389476,0.09564414126341221,0.55436486667887,0.2604206094013168,0.0010828023456258887,0.00048375706214689264
130,2178,2014,51,0,0,0,0,0.3482307996625271,0.8045139249836982,0.9058016598278692,1.0,0.0,0.631578947368421,1.0,1.0,1.0,1.0,0.8913750492464296,0.14739877557461634,0.0,0.7262085305922722,0.0,0.0,0.0,0.0,0.00836132304545035,0.83520250906712,0.5542442218148624,0.0,0.0,0.0,0.5035126206849048,0.005669395480910068,0.010471066901288064,0.036141006473048215,0.09876967977904832,1.0,0.0,0.001479093718810967,0.0005049222334222005,9.970225122414007e-05,0.28674375445087463,0.0005994856408417174,0.010962897098596922,4.617617027827339e-05,4.617617027827339e-05,0.0,5.6926304832230045e-05,0.0,0.004786455048700161,0.4864789525255989,0.00021546502149695526,0.0,0.0,0.0016724165294502748,5.372591130683414e-05,0.2274933336281425,0.26698577821864405,0.17024614865150042,0.00045673840608562627,0.0003358992828533886,0.0017972015005206178,0.24995686087173957,0.00034721104549676797,0.020309481086291194,0.0040832484731389476,0.09564414126341221,0.5542566477515407,0.2604391231118478,0.0010826429373655818,0.00035275423728813564
